Training: 2021-10-31 14:46:50,216-Speed 719.22 samples/sec   Loss 40.9200 Margin 0.0000 Center 0.1875 Epoch: 0   Global Step: 1900   Required: 58 hours
Training: 2021-10-31 14:47:25,830-Speed 718.83 samples/sec   Loss 40.4395 Margin 0.0000 Center 0.2273 Epoch: 0   Global Step: 1950   Required: 58 hours
Training: 2021-10-31 14:48:01,436-Speed 718.98 samples/sec   Loss 40.1661 Margin 0.0000 Center 0.1539 Epoch: 0   Global Step: 2000   Required: 58 hours
Training: 2021-10-31 14:48:37,046-Speed 718.91 samples/sec   Loss 39.7771 Margin 0.0000 Center 0.1625 Epoch: 0   Global Step: 2050   Required: 58 hours
Training: 2021-10-31 14:49:12,647-Speed 719.09 samples/sec   Loss 39.4489 Margin 0.0000 Center 0.1614 Epoch: 0   Global Step: 2100   Required: 58 hours
Training: 2021-10-31 14:49:48,787-Speed 708.36 samples/sec   Loss 39.0685 Margin 0.0000 Center 0.1645 Epoch: 0   Global Step: 2150   Required: 58 hours
Training: 2021-10-31 14:50:24,408-Speed 718.68 samples/sec   Loss 38.7202 Margin 0.0000 Center 0.1883 Epoch: 0   Global Step: 2200   Required: 58 hours
Training: 2021-10-31 14:51:00,033-Speed 718.61 samples/sec   Loss 38.3710 Margin 0.0000 Center 0.1919 Epoch: 0   Global Step: 2250   Required: 58 hours
Training: 2021-10-31 14:51:35,634-Speed 719.09 samples/sec   Loss 38.0987 Margin 0.0000 Center 0.2510 Epoch: 0   Global Step: 2300   Required: 58 hours
Training: 2021-10-31 14:52:11,282-Speed 718.15 samples/sec   Loss 37.5831 Margin 0.0000 Center 0.1741 Epoch: 0   Global Step: 2350   Required: 58 hours
Training: 2021-10-31 14:52:46,940-Speed 717.94 samples/sec   Loss 37.1770 Margin 0.0000 Center 0.2098 Epoch: 0   Global Step: 2400   Required: 58 hours
Training: 2021-10-31 14:53:22,536-Speed 719.18 samples/sec   Loss 36.7274 Margin 0.0000 Center 0.1262 Epoch: 0   Global Step: 2450   Required: 58 hours
Training: 2021-10-31 14:53:58,189-Speed 718.05 samples/sec   Loss 36.2610 Margin 0.0000 Center 0.1631 Epoch: 0   Global Step: 2500   Required: 58 hours
Training: 2021-10-31 14:54:33,869-Speed 717.49 samples/sec   Loss 36.1772 Margin 0.0000 Center 0.2175 Epoch: 0   Global Step: 2550   Required: 58 hours
Training: 2021-10-31 14:55:09,532-Speed 717.84 samples/sec   Loss 35.3706 Margin 0.0000 Center 0.2807 Epoch: 0   Global Step: 2600   Required: 58 hours
Training: 2021-10-31 14:55:45,041-Speed 720.95 samples/sec   Loss 34.6808 Margin 0.0000 Center 0.1586 Epoch: 0   Global Step: 2650   Required: 58 hours
Training: 2021-10-31 14:56:20,532-Speed 721.31 samples/sec   Loss 34.4480 Margin 0.0000 Center 0.1339 Epoch: 0   Global Step: 2700   Required: 58 hours
Training: 2021-10-31 14:56:56,052-Speed 720.74 samples/sec   Loss 34.1355 Margin 0.0000 Center 0.1124 Epoch: 0   Global Step: 2750   Required: 58 hours
Training: 2021-10-31 14:57:31,528-Speed 721.62 samples/sec   Loss 33.4037 Margin 0.0000 Center 0.1063 Epoch: 0   Global Step: 2800   Required: 58 hours
Training: 2021-10-31 14:58:06,947-Speed 722.79 samples/sec   Loss 32.8726 Margin 0.0000 Center 0.1354 Epoch: 0   Global Step: 2850   Required: 58 hours
Training: 2021-10-31 14:58:42,476-Speed 720.53 samples/sec   Loss 32.4494 Margin 0.0000 Center 0.1414 Epoch: 0   Global Step: 2900   Required: 58 hours
Training: 2021-10-31 14:59:18,002-Speed 720.62 samples/sec   Loss 31.8013 Margin 0.0000 Center 0.1090 Epoch: 0   Global Step: 2950   Required: 58 hours
Training: 2021-10-31 14:59:53,542-Speed 720.31 samples/sec   Loss 31.6773 Margin 0.0000 Center 0.1635 Epoch: 0   Global Step: 3000   Required: 58 hours
Training: 2021-10-31 15:00:29,095-Speed 720.07 samples/sec   Loss 30.9657 Margin 0.0000 Center 0.1088 Epoch: 0   Global Step: 3050   Required: 58 hours
Training: 2021-10-31 15:01:04,632-Speed 720.39 samples/sec   Loss 30.5740 Margin 0.0000 Center 0.1167 Epoch: 0   Global Step: 3100   Required: 58 hours
Training: 2021-10-31 15:01:40,384-Speed 716.04 samples/sec   Loss 30.2874 Margin 0.0000 Center 0.1308 Epoch: 0   Global Step: 3150   Required: 58 hours
Training: 2021-10-31 15:02:15,990-Speed 718.98 samples/sec   Loss 29.4480 Margin 0.0000 Center 0.1242 Epoch: 0   Global Step: 3200   Required: 58 hours
Training: 2021-10-31 15:02:51,521-Speed 720.52 samples/sec   Loss 29.4260 Margin 0.0000 Center 0.1422 Epoch: 0   Global Step: 3250   Required: 58 hours
Training: 2021-10-31 15:03:27,029-Speed 720.96 samples/sec   Loss 28.8444 Margin 0.0000 Center 0.0986 Epoch: 0   Global Step: 3300   Required: 58 hours
Training: 2021-10-31 15:04:02,561-Speed 720.48 samples/sec   Loss 28.1869 Margin 0.0000 Center 0.1199 Epoch: 0   Global Step: 3350   Required: 58 hours
Training: 2021-10-31 15:04:38,091-Speed 720.53 samples/sec   Loss 28.1484 Margin 0.0000 Center 0.1212 Epoch: 0   Global Step: 3400   Required: 58 hours
Training: 2021-10-31 15:05:13,644-Speed 720.07 samples/sec   Loss 27.6422 Margin 0.0000 Center 0.1600 Epoch: 0   Global Step: 3450   Required: 58 hours
Training: 2021-10-31 15:05:49,178-Speed 720.44 samples/sec   Loss 27.4237 Margin 0.0000 Center 0.1238 Epoch: 0   Global Step: 3500   Required: 58 hours
Training: 2021-10-31 15:06:24,876-Speed 717.14 samples/sec   Loss 26.9973 Margin 0.0000 Center 0.1295 Epoch: 0   Global Step: 3550   Required: 58 hours
Training: 2021-10-31 15:07:00,430-Speed 720.03 samples/sec   Loss 26.6625 Margin 0.0000 Center 0.1001 Epoch: 0   Global Step: 3600   Required: 58 hours
Training: 2021-10-31 15:07:36,009-Speed 719.54 samples/sec   Loss 26.4747 Margin 0.0000 Center 0.1250 Epoch: 0   Global Step: 3650   Required: 58 hours
Training: 2021-10-31 15:08:11,523-Speed 720.84 samples/sec   Loss 25.7760 Margin 0.0000 Center 0.0993 Epoch: 0   Global Step: 3700   Required: 58 hours
Training: 2021-10-31 15:08:47,048-Speed 720.64 samples/sec   Loss 25.6574 Margin 0.0000 Center 0.1181 Epoch: 0   Global Step: 3750   Required: 58 hours
Training: 2021-10-31 15:09:22,589-Speed 720.30 samples/sec   Loss 25.4888 Margin 0.0000 Center 0.1233 Epoch: 0   Global Step: 3800   Required: 58 hours
Training: 2021-10-31 15:09:58,139-Speed 720.12 samples/sec   Loss 24.9517 Margin 0.0000 Center 0.1149 Epoch: 0   Global Step: 3850   Required: 58 hours
Training: 2021-10-31 15:10:33,755-Speed 718.79 samples/sec   Loss 24.6624 Margin 0.0000 Center 0.1074 Epoch: 0   Global Step: 3900   Required: 58 hours
